subject,response,duration,hist
1,1,0.8,R
1,0,0.3,R
1,1,0.4,R
1,0,0.3,R
1,1,0.8,R
1,1,0.8,R
1,0,0.2,R
1,0,0.2,R
1,0,0.2,R
1,0,0.4,R
1,1,0.7,R
1,0,0.4,R
1,0,0.5,R
1,1,0.6,R
1,0,0.3,R
1,0,0.6,R
1,0,0.4,R
1,0,0.2,R
1,0,0.2,R
1,0,0.3,R
1,1,0.8,R
1,0,0.5,R
1,1,0.7,R
1,0,0.4,R
1,0,0.4,R
1,0,0.6,R
1,1,0.8,R
1,1,0.8,R
1,0,0.3,R
1,0,0.2,R
1,0,0.3,R
1,0,0.3,R
1,1,0.8,R
1,0,0.4,R
1,1,0.7,R
1,0,0.7,R
1,1,0.8,R
1,0,0.4,R
1,1,0.8,R
1,0,0.2,R
1,0,0.3,R
1,1,0.6,R
1,0,0.4,R
1,0,0.2,R
1,0,0.2,R
1,1,0.7,R
1,0,0.3,R
1,0,0.3,R
1,0,0.7,R
1,0,0.3,R
1,0,0.2,R
1,0,0.5,R
1,1,0.8,R
1,0,0.5,R
1,0,0.6,R
1,0,0.2,R
1,1,0.8,R
1,1,0.5,R
1,1,0.7,R
1,0,0.4,R
1,1,0.6,R
1,0,0.3,R
1,0,0.5,R
1,0,0.2,R
1,0,0.3,R
1,1,0.7,R
1,1,0.7,R
1,0,0.6,R
1,0,0.6,R
1,0,0.5,R
1,1,0.5,R
1,1,0.5,R
1,1,0.6,R
1,1,0.8,R
1,1,0.3,R
1,1,0.8,R
1,1,0.7,R
1,1,0.8,R
1,1,0.6,R
1,1,0.5,R
1,1,0.5,R
1,1,0.6,R
1,0,0.3,R
1,0,0.3,R
1,0,0.5,R
1,0,0.4,R
1,0,0.3,R
1,0,0.3,R
1,1,0.5,R
1,0,0.2,R
1,1,0.5,R
1,1,0.8,R
1,0,0.4,R
1,0,0.7,R
1,1,0.7,R
1,1,0.7,R
1,1,0.4,R
1,0,0.4,R
1,1,0.7,R
1,0,0.6,R
1,0,0.2,R
1,1,0.7,R
1,1,0.5,R
1,0,0.5,R
1,0,0.5,R
1,0,0.2,R
1,1,0.4,R
1,0,0.3,R
1,1,0.2,R
1,0,0.4,R
1,1,0.4,R
1,1,0.4,R
1,1,0.6,R
1,1,0.7,R
1,1,0.7,R
1,0,0.7,R
1,0,0.6,R
1,0,0.6,R
1,0,0.3,R
1,1,0.5,R
1,0,0.3,R
1,1,0.8,R
1,0,0.2,R
1,1,0.7,R
1,0,0.3,R
1,0,0.4,R
1,0,0.6,R
1,0,0.5,R
1,1,0.8,R
1,1,0.7,R
1,0,0.4,R
1,0,0.3,R
1,0,0.4,R
1,0,0.5,R
1,0,0.4,R
1,0,0.3,R
1,1,0.7,R
1,0,0.5,R
1,1,0.5,R
1,0,0.4,R
1,0,0.3,R
1,0,0.5,R
1,0,0.3,R
1,1,0.7,R
1,1,0.8,R
1,1,0.7,R
1,0,0.4,R
1,1,0.6,R
1,0,0.3,R
1,1,0.7,R
1,0,0.3,R
1,0,0.2,R
1,1,0.5,R
1,1,0.6,R
1,1,0.7,R
1,1,0.6,R
1,0,0.2,R
1,0,0.5,R
1,1,0.7,R
1,1,0.2,R
1,1,0.5,R
1,1,0.7,R
1,0,0.3,R
1,1,0.7,R
1,0,0.3,R
1,0,0.2,R
1,1,0.3,R
1,0,0.3,R
1,1,0.5,R
1,1,0.6,R
1,1,0.6,R
1,1,0.7,R
1,0,0.2,R
1,1,0.6,R
1,0,0.2,R
1,1,0.6,R
1,0,0.2,R
1,1,0.6,R
1,0,0.2,R
1,0,0.3,R
1,1,0.8,R
1,0,0.2,R
1,0,0.4,R
1,0,0.3,R
1,1,0.8,R
1,1,0.5,R
1,0,0.2,R
1,0,0.2,R
1,1,0.6,R
1,0,0.3,R
1,1,0.5,R
1,0,0.3,R
1,0,0.4,R
1,0,0.4,R
1,0,0.3,R
1,0,0.5,R
1,1,0.3,R
1,0,0.3,R
1,1,0.8,R
1,0,0.4,R
1,0,0.3,R
1,1,0.7,R
1,1,0.7,R
1,1,0.7,R
1,0,0.2,R
1,1,0.5,R
1,1,0.7,R
1,1,0.8,R
1,1,0.7,R
1,0,0.7,R
1,0,0.3,R
1,0,0.5,R
1,1,0.7,R
1,1,0.3,R
1,0,0.4,R
1,0,0.4,R
1,0,0.4,R
1,0,0.2,R
1,1,0.7,R
1,0,0.2,R
1,1,0.6,R
1,1,0.4,R
1,1,0.7,R
1,1,0.5,R
1,1,0.6,R
1,0,0.5,R
1,0,0.4,R
1,0,0.3,R
1,0,0.6,R
1,0,0.6,R
1,0,0.3,R
1,1,0.6,R
1,1,0.7,R
1,0,0.3,R
1,0,0.3,R
1,0,0.2,R
1,1,0.8,R
1,1,0.5,R
1,1,0.7,R
1,0,0.6,R
1,0,0.3,R
1,1,0.8,R
1,1,0.7,R
1,0,0.4,R
1,0,0.2,R
1,0,0.5,R
1,0,0.3,R
1,1,0.5,R
1,0,0.3,R
1,1,0.6,R
1,1,0.6,R
1,0,0.4,R
1,0,0.2,R
1,0,0.5,R
1,0,0.4,R
1,0,0.4,R
1,1,0.8,R
1,0,0.4,R
1,1,0.8,R
1,1,0.7,R
1,0,0.3,R
1,0,0.3,R
1,1,0.6,R
1,0,0.5,R
1,1,0.6,R
1,0,0.3,R
1,0,0.7,R
1,0,0.5,R
1,1,0.5,R
1,0,0.5,R
1,0,0.4,R
1,1,0.8,R
1,1,0.5,R
1,0,0.5,R
1,0,0.3,R
1,0,0.5,R
1,0,0.5,R
1,0,0.2,R
1,0,0.2,R
1,0,0.5,R
1,0,0.2,R
1,1,0.7,R
2,1,0.4,R
2,1,0.7,R
2,1,0.7,R
2,0,0.3,R
2,1,0.7,R
2,1,0.4,R
2,1,0.6,R
2,1,0.4,R
2,1,0.6,R
2,1,0.4,R
2,1,0.4,R
2,0,0.4,R
2,1,0.6,R
2,0,0.3,R
2,0,0.2,R
2,1,0.5,R
2,1,0.7,R
2,0,0.2,R
2,0,0.4,R
2,0,0.4,R
2,1,0.4,R
2,0,0.4,R
2,0,0.2,R
2,0,0.3,R
2,1,0.8,R
2,1,0.7,R
2,0,0.2,R
2,0,0.4,R
2,0,0.4,R
2,1,0.6,R
2,0,0.4,R
2,0,0.4,R
2,0,0.2,R
2,0,0.4,R
2,0,0.2,R
2,0,0.5,R
2,0,0.3,R
2,1,0.7,R
2,1,0.5,R
2,0,0.2,R
2,0,0.5,R
2,0,0.4,R
2,0,0.6,R
2,0,0.2,R
2,0,0.2,R
2,1,0.6,R
2,0,0.4,R
2,0,0.5,R
2,0,0.8,R
2,0,0.6,R
2,0,0.2,R
2,0,0.3,R
2,1,0.7,R
2,1,0.5,R
2,0,0.3,R
2,1,0.7,R
2,0,0.2,R
2,0,0.2,R
2,1,0.6,R
2,1,0.6,R
2,0,0.4,R
2,1,0.5,R
2,0,0.5,R
2,0,0.4,R
2,1,0.8,R
2,1,0.5,R
2,1,0.5,R
2,0,0.4,R
2,1,0.7,R
2,1,0.5,R
2,0,0.2,R
2,1,0.5,R
2,1,0.5,R
2,0,0.6,R
2,1,0.7,R
2,1,0.8,R
2,0,0.2,R
2,0,0.2,R
2,1,0.6,R
2,0,0.2,R
2,0,0.5,R
2,1,0.7,R
2,1,0.7,R
2,1,0.5,R
2,0,0.5,R
2,0,0.5,R
2,0,0.2,R
2,0,0.4,R
2,0,0.5,R
2,0,0.6,R
2,0,0.6,R
2,0,0.4,R
2,1,0.7,R
2,0,0.2,R
2,1,0.8,R
2,1,0.5,R
2,1,0.8,R
2,1,0.7,R
2,1,0.8,R
2,0,0.3,R
2,0,0.4,R
2,1,0.6,R
2,0,0.3,R
2,1,0.7,R
2,0,0.6,R
2,0,0.3,R
2,0,0.3,R
2,0,0.3,R
2,1,0.7,R
2,0,0.4,R
2,0,0.5,R
2,0,0.3,R
2,0,0.8,R
2,0,0.8,R
2,1,0.6,R
2,1,0.8,R
2,1,0.7,R
2,0,0.7,R
2,1,0.7,R
2,0,0.4,R
2,0,0.4,R
2,0,0.6,R
2,0,0.5,R
2,1,0.8,R
2,0,0.5,R
2,0,0.4,R
2,0,0.7,R
2,0,0.3,R
2,0,0.2,R
2,0,0.4,R
2,1,0.8,R
2,1,0.8,R
2,0,0.5,R
2,1,0.5,R
2,0,0.4,R
2,1,0.8,R
2,0,0.5,R
2,1,0.8,R
2,1,0.8,R
2,0,0.3,R
2,1,0.7,R
2,0,0.4,R
2,0,0.2,R
2,0,0.5,R
2,1,0.8,R
2,0,0.4,R
2,0,0.5,R
2,0,0.3,R
2,1,0.8,R
2,1,0.8,R
2,1,0.6,R
2,1,0.6,R
2,0,0.4,R
2,0,0.3,R
2,1,0.7,R
2,0,0.5,R
2,0,0.7,R
2,1,0.7,R
2,0,0.2,R
2,1,0.7,R
2,1,0.7,R
2,0,0.4,R
2,1,0.8,R
2,0,0.3,R
2,0,0.3,R
2,0,0.4,R
2,0,0.5,R
2,1,0.7,R
2,1,0.6,R
2,0,0.6,R
2,1,0.8,R
2,1,0.8,R
2,0,0.2,R
2,0,0.7,R
2,0,0.5,R
2,1,0.8,R
2,0,0.4,R
2,0,0.5,R
2,1,0.7,R
2,0,0.2,R
2,0,0.4,R
2,1,0.8,R
2,0,0.5,R
2,0,0.4,R
2,0,0.2,R
2,0,0.2,R
2,0,0.6,R
2,0,0.7,R
2,0,0.5,R
2,0,0.6,R
2,0,0.6,R
2,0,0.3,R
2,1,0.8,R
2,0,0.6,R
2,1,0.8,R
2,0,0.5,R
2,0,0.3,R
2,1,0.6,R
2,0,0.7,R
2,0,0.3,R
2,0,0.2,R
2,0,0.2,R
2,0,0.4,R
2,0,0.7,R
2,0,0.6,R
2,1,0.7,R
2,0,0.2,R
2,1,0.6,R
2,0,0.8,R
2,0,0.3,R
2,1,0.8,R
2,0,0.4,R
2,0,0.4,R
2,1,0.7,R
2,0,0.2,R
2,0,0.2,R
2,0,0.6,R
2,0,0.5,R
2,0,0.7,R
2,1,0.7,R
2,0,0.6,R
2,1,0.6,R
2,1,0.7,R
2,1,0.7,R
2,0,0.2,R
2,0,0.3,R
2,1,0.7,R
2,1,0.6,R
2,1,0.8,R
2,1,0.6,R
2,0,0.5,R
2,0,0.3,R
2,0,0.3,R
2,1,0.6,R
2,1,0.5,R
2,1,0.7,R
2,0,0.3,R
2,1,0.5,R
2,1,0.5,R
2,1,0.7,R
2,0,0.4,R
2,1,0.7,R
2,1,0.5,R
2,1,0.6,R
2,0,0.6,R
2,0,0.4,R
2,1,0.8,R
2,0,0.2,R
2,0,0.4,R
2,0,0.2,R
2,1,0.8,R
2,0,0.4,R
2,0,0.2,R
2,0,0.5,R
2,0,0.3,R
2,0,0.4,R
2,1,0.8,R
2,0,0.4,R
2,0,0.2,R
2,0,0.2,R
2,0,0.4,R
2,0,0.3,R
2,1,0.8,R
2,1,0.7,R
2,0,0.2,R
2,1,0.8,R
2,0,0.2,R
2,1,0.6,R
2,0,0.2,R
2,1,0.8,R
2,1,0.8,R
2,0,0.6,R
2,1,0.8,R
2,0,0.8,R
2,0,0.7,R
2,0,0.2,R
2,0,0.2,R
2,0,0.5,R
2,1,0.8,R
2,0,0.5,R
2,0,0.4,R
2,1,0.8,R
2,0,0.7,R
2,0,0.4,R
2,0,0.3,R
2,0,0.3,R
2,1,0.8,R
2,1,0.8,R
2,0,0.6,R
2,0,0.3,R
2,0,0.7,R
2,0,0.4,R
2,0,0.2,R
3,1,0.8,R
3,0,0.2,R
3,0,0.2,R
3,0,0.3,R
3,1,0.4,R
3,1,0.5,R
3,1,0.6,R
3,0,0.2,R
3,0,0.4,R
3,1,0.7,R
3,0,0.5,R
3,0,0.3,R
3,0,0.6,R
3,0,0.2,R
3,0,0.5,R
3,0,0.5,R
3,0,0.3,R
3,1,0.7,R
3,1,0.6,R
3,1,0.8,R
3,0,0.4,R
3,0,0.7,R
3,1,0.7,R
3,0,0.5,R
3,1,0.8,R
3,0,0.2,R
3,0,0.5,R
3,0,0.3,R
3,1,0.6,R
3,0,0.3,R
3,0,0.3,R
3,0,0.3,R
3,0,0.5,R
3,0,0.6,R
3,0,0.6,R
3,0,0.4,R
3,0,0.2,R
3,1,0.8,R
3,1,0.8,R
3,0,0.2,R
3,0,0.5,R
3,0,0.5,R
3,1,0.6,R
3,1,0.5,R
3,1,0.5,R
3,1,0.6,R
3,1,0.7,R
3,1,0.7,R
3,0,0.2,R
3,0,0.5,R
3,0,0.7,R
3,1,0.6,R
3,0,0.2,R
3,1,0.8,R
3,0,0.4,R
3,0,0.6,R
3,0,0.4,R
3,1,0.8,R
3,0,0.5,R
3,0,0.2,R
3,0,0.2,R
3,0,0.3,R
3,0,0.2,R
3,1,0.5,R
3,1,0.7,R
3,1,0.8,R
3,0,0.2,R
3,0,0.3,R
3,0,0.2,R
3,0,0.2,R
3,1,0.8,R
3,0,0.5,R
3,0,0.2,R
3,1,0.8,R
3,1,0.6,R
3,0,0.2,R
3,0,0.2,R
3,1,0.6,R
3,0,0.4,R
3,0,0.5,R
3,0,0.4,R
3,1,0.7,R
3,0,0.2,R
3,1,0.7,R
3,0,0.3,R
3,1,0.7,R
3,1,0.8,R
3,0,0.3,R
3,1,0.8,R
3,0,0.6,R
3,0,0.7,R
3,1,0.5,R
3,1,0.5,R
3,1,0.6,R
3,1,0.8,R
3,0,0.5,R
3,0,0.4,R
3,1,0.7,R
3,0,0.2,R
3,0,0.4,R
3,0,0.2,R
3,0,0.2,R
3,1,0.8,R
3,0,0.5,R
3,1,0.8,R
3,1,0.8,R
3,1,0.6,R
3,1,0.8,R
3,0,0.4,R
3,1,0.7,R
3,0,0.4,R
3,0,0.4,R
3,1,0.6,R
3,0,0.2,R
3,0,0.5,R
3,0,0.4,R
3,0,0.4,R
3,0,0.2,R
3,0,0.2,R
3,0,0.2,R
3,0,0.4,R
3,1,0.6,R
3,1,0.6,R
3,0,0.4,R
3,1,0.7,R
3,0,0.2,R
3,0,0.4,R
3,0,0.2,R
3,0,0.4,R
3,1,0.8,R
3,0,0.2,R
3,1,0.4,R
3,1,0.4,R
3,1,0.5,R
3,1,0.6,R
3,0,0.4,R
3,1,0.8,R
3,0,0.3,R
3,0,0.2,R
3,0,0.3,R
3,0,0.4,R
3,1,0.7,R
3,0,0.4,R
3,1,0.8,R
3,0,0.3,R
3,0,0.5,R
3,1,0.4,R
3,0,0.2,R
3,1,0.6,R
3,1,0.7,R
3,0,0.5,R
3,0,0.3,R
3,0,0.6,R
3,1,0.8,R
3,0,0.6,R
3,1,0.7,R
3,1,0.8,R
3,0,0.5,R
3,0,0.6,R
3,1,0.6,R
3,0,0.2,R
3,0,0.3,R
3,0,0.2,R
3,1,0.8,R
3,0,0.2,R
3,1,0.6,R
3,0,0.4,R
3,1,0.8,R
3,1,0.5,R
3,0,0.4,R
3,0,0.5,R
3,0,0.3,R
3,1,0.7,R
3,1,0.8,R
3,0,0.5,R
3,0,0.2,R
3,1,0.7,R
3,0,0.5,R
3,0,0.3,R
3,0,0.6,R
3,0,0.5,R
2,1,0.6,R
2,1,0.7,R
2,1,0.7,R
2,0,0.2,R
2,0,0.3,R
2,1,0.7,R
2,1,0.6,R
2,1,0.8,R
2,1,0.6,R
2,0,0.5,R
2,0,0.3,R
2,0,0.3,R
2,1,0.6,R
2,1,0.5,R
2,1,0.7,R
2,0,0.3,R
2,1,0.5,R
2,1,0.5,R
2,1,0.7,R
2,0,0.4,R
2,1,0.7,R
2,1,0.5,R
2,1,0.6,R
2,0,0.6,R
2,0,0.4,R
2,1,0.8,R
2,0,0.2,R
2,0,0.4,R
2,0,0.2,R
2,1,0.8,R
2,0,0.4,R
2,0,0.2,R
2,0,0.5,R
2,0,0.3,R
2,0,0.4,R
2,1,0.8,R
2,0,0.4,R
2,0,0.2,R
