subject,block,rt,response,duration,hist,rsi
1,1,0.0970230999999999,1,0.8,R,1.6
1,1,0.5695756,0,0.3,R,1.3
1,1,0.4244128,1,0.4,R,1.8
1,1,0.6499417,0,0.3,R,1.8
1,1,0.2690518,1,0.8,R,0.9
1,1,0.2249519,1,0.8,R,1.1
1,1,0.5659171,0,0.2,R,0.9
1,1,0.4810623,0,0.2,R,1.3
1,1,0.4771222,0,0.2,R,1.9
1,1,0.6089155,0,0.4,R,1.6
1,1,0.276652,1,0.7,R,0.9
1,1,0.5372431,0,0.4,R,1.3
1,1,0.5570248,0,0.5,R,1.9
1,1,0.2567624,1,0.6,R,1.1
1,1,0.6527398,0,0.3,R,1.3
1,1,0.5688063,0,0.6,R,1.8
1,1,0.5779425,0,0.4,R,1.1
1,1,0.5092688,0,0.2,R,2.1
1,1,0.713108,0,0.2,R,1.6
1,1,0.463994,0,0.3,R,1.3
1,1,0.2656952,1,0.8,R,1.3
1,1,0.4214444,0,0.5,R,1.4
1,1,0.6141687,1,0.7,R,1.9
1,1,0.4733138,0,0.4,R,1.4
1,1,0.6766423,0,0.4,R,2.3
1,1,0.5777481,0,0.6,R,1.1
1,1,0.5679684,1,0.8,R,1.9
1,1,0.2569682,1,0.8,R,1.8
1,1,0.3687564,0,0.3,R,1.4
1,1,0.668926,0,0.2,R,1.6
1,1,0.6535503,0,0.3,R,1.8
1,1,0.4884136,0,0.3,R,1.3
1,1,0.312227,1,0.8,R,1.3
1,1,0.4988231,0,0.4,R,2.3
1,1,0.2928952,1,0.7,R,2.3
1,1,0.6052092,0,0.7,R,0.9
1,1,0.2971655,1,0.8,R,1.9
1,1,0.5049698,0,0.4,R,1.9
1,1,0.2569473,1,0.8,R,1.4
1,1,0.4368255,0,0.2,R,0.9
1,1,0.4930753,0,0.3,R,1.3
1,1,0.3819321,1,0.6,R,2.3
1,1,0.5098401,0,0.4,R,1.6
1,1,0.6368255,0,0.2,R,1.8
1,1,0.4368315,0,0.2,R,2.3
1,1,0.2207425,1,0.7,R,2.1
1,1,0.3649175,0,0.3,R,1.1
1,1,0.3417124,0,0.3,R,1.8
1,1,0.6101148,0,0.7,R,0.9
1,1,0.4700476,0,0.3,R,1.6
1,1,0.3608228,0,0.2,R,1.4
1,1,0.4810695,0,0.5,R,1.4
1,1,0.2090695,1,0.8,R,1.4
1,1,0.6327937,0,0.5,R,1.1
1,1,0.4529839,0,0.6,R,2.1
1,1,0.4640783,0,0.2,R,1.1
1,1,0.1526028,1,0.8,R,1.9
1,1,0.3326681,1,0.5,R,0.9
1,1,0.3611946,1,0.7,R,1.4
1,1,0.557086,0,0.4,R,2.1
1,1,0.412784,1,0.6,R,1.9
1,1,0.5290455,0,0.3,R,2.3
1,1,0.7693278,0,0.5,R,1.8
1,1,0.3971531,0,0.2,R,1.9
1,1,0.080792,0,0.3,R,2.1
1,1,0.3088839,1,0.7,R,1.3
1,1,0.3852614,1,0.7,R,1.8
1,1,0.4489319,0,0.6,R,1.3
1,1,0.4008798,0,0.6,R,1.1
1,1,0.3890557,0,0.5,R,2.1
1,2,0.3418158,1,0.5,R,2.3
1,2,0.2696798,1,0.5,R,1.1
1,2,0.2917545,1,0.6,R,0.9
1,2,0.1007475,1,0.8,R,2.3
1,2,0.3405489,1,0.3,R,2.1
1,2,0.2099686,1,0.8,R,1.1
1,2,0.2609661,1,0.7,R,1.4
1,2,0.2090391,1,0.8,R,2.1
1,2,0.2738638,1,0.6,R,1.9
1,2,0.3008687,1,0.5,R,1.8
1,2,0.7330018,1,0.5,R,1.9
1,2,0.3209116,1,0.6,R,1.6
1,2,0.5600842,0,0.3,R,2.1
1,2,0.4687526,0,0.3,R,1.9
1,2,0.4596906,0,0.5,R,1.4
1,2,0.3688231,0,0.4,R,1.3
1,2,0.4520776,0,0.3,R,1.8
1,2,0.2328195,0,0.3,R,1.9
1,2,0.4538296,1,0.5,R,1.9
1,2,0.5009081,0,0.2,R,1.4
1,2,0.9570021,1,0.5,R,1.6
1,2,0.2648714,1,0.8,R,1.3
1,2,0.7248664,0,0.4,R,2.3
1,2,0.2277999,0,0.7,R,1.6
1,2,0.2808517,1,0.7,R,0.9
1,2,0.4209996,1,0.7,R,1.6
1,2,0.8049535,1,0.4,R,1.1
1,2,0.6564905,0,0.4,R,1.4
1,2,0.4640495,1,0.7,R,1.9
1,2,0.540801,0,0.6,R,0.9
1,2,0.4936227,0,0.2,R,1.9
1,2,0.3899981,1,0.7,R,2.3
1,2,0.7370561,1,0.5,R,1.4
1,2,0.5893828,0,0.5,R,2.3
1,2,0.3617303,0,0.5,R,2.3
1,2,0.4082255,0,0.2,R,1.6
1,2,0.236884,1,0.4,R,2.1
1,2,0.2382953,0,0.3,R,1.3
1,2,0.2814013,1,0.2,R,0.9
1,2,0.505014,0,0.4,R,1.9
1,2,0.1780242,1,0.4,R,1.1
1,2,0.2651415,1,0.4,R,1.4
1,2,0.2291715,1,0.6,R,1.8
1,2,0.6162642,1,0.7,R,1.6
1,2,0.313083,1,0.7,R,1.1
1,2,0.5888714,0,0.7,R,1.8
1,2,0.5572033,0,0.6,R,1.1
1,2,0.3629873,0,0.6,R,1.8
1,2,0.322091,0,0.3,R,1.6
1,2,0.8011126,1,0.5,R,1.4
1,2,0.5361226,0,0.3,R,2.1
1,2,0.5541131,1,0.8,R,1.3
1,2,0.3360591,0,0.2,R,1.8
1,2,0.2208717,1,0.7,R,1.3
1,2,0.4690216,0,0.3,R,1.9
1,2,0.4572578,0,0.4,R,1.6
1,2,0.6701527,0,0.6,R,1.6
1,2,0.8269348,0,0.5,R,1.4
1,2,0.0960696999999997,1,0.8,R,0.9
1,2,0.209125,1,0.7,R,2.1
1,2,0.4896261,0,0.4,R,2.3
1,2,0.3416164,0,0.3,R,1.4
1,2,0.4208784,0,0.4,R,1.9
1,2,0.3646258,0,0.5,R,1.4
1,2,0.3599804,0,0.4,R,2.1
1,2,0.3258189,0,0.3,R,1.6
1,2,0.3763151,1,0.7,R,1.9
1,2,0.3317709,0,0.5,R,0.9
1,2,0.8889854,1,0.5,R,2.3
1,2,0.5357671,0,0.4,R,1.6
1,2,0.4607985,0,0.3,R,1.1
1,2,0.4809435,0,0.5,R,1.9
1,3,0.2694216,0,0.3,R,2.3
1,3,0.1091188,1,0.7,R,1.1
1,3,0.1926753,1,0.8,R,1.8
1,3,0.2408853,1,0.7,R,2.3
1,3,0.432832,0,0.4,R,1.6
1,3,0.2767979,1,0.6,R,0.9
1,3,0.455932,0,0.3,R,0.9
1,3,0.1811063,1,0.7,R,2.3
1,3,0.4649082,0,0.3,R,0.9
1,3,0.3451294,0,0.2,R,1.8
1,3,0.5052047,1,0.5,R,2.3
1,3,0.2660206,1,0.6,R,1.8
1,3,0.1842074,1,0.7,R,1.4
1,3,0.2088481,1,0.6,R,1.9
1,3,0.4167148,0,0.2,R,0.9
1,3,0.5501425,0,0.5,R,1.8
1,3,0.2973889,1,0.7,R,1.4
1,3,0.1500058,1,0.2,R,1.1
1,3,0.2529329,1,0.5,R,1.9
1,3,0.2261164,1,0.7,R,1.4
1,3,0.4022383,0,0.3,R,2.1
1,3,0.3250166,1,0.7,R,1.4
1,3,0.5020435,0,0.3,R,1.4
1,3,0.2529317,0,0.2,R,1.6
1,3,0.2559512,1,0.3,R,1.1
1,3,0.3208129,0,0.3,R,1.8
1,3,0.3576539,1,0.5,R,2.3
1,3,0.2730292,1,0.6,R,1.3
1,3,0.2810114,1,0.6,R,2.1
1,3,0.2525432,1,0.7,R,1.8
1,3,0.4286707,0,0.2,R,2.1
1,3,0.5170626,1,0.6,R,1.9
1,3,0.3049029,0,0.2,R,1.6
1,3,0.2369299,1,0.6,R,1.3
1,3,0.2900269,0,0.2,R,1.1
1,3,0.2247302,1,0.6,R,2.3
1,3,0.539226,0,0.2,R,1.3
1,3,0.8892059,0,0.3,R,0.9
1,3,0.1690197,1,0.8,R,2.1
1,3,0.4892305,0,0.2,R,1.9
1,3,0.6088565,0,0.4,R,1.6
1,3,0.3528441,0,0.3,R,1.9
1,3,0.2739253,1,0.8,R,1.3
1,3,0.6287464,1,0.5,R,1.8
1,3,0.4690452,0,0.2,R,1.4
1,3,0.4245389,0,0.2,R,1.6
1,3,0.2918727,1,0.6,R,1.8
1,3,0.301657,0,0.3,R,1.6
1,3,0.2730568,1,0.5,R,1.8
1,3,0.4460036,0,0.3,R,2.3
1,3,0.4169956,0,0.4,R,1.3
1,3,0.4101199,0,0.4,R,2.1
1,3,0.3251788,0,0.3,R,2.3
