subj,response,soa,hist
1,1,100,R
1,0,-72,R
1,1,44,R
1,1,44,R
1,1,44,R
1,1,-72,R
1,1,-16,R
1,0,-72,R
1,1,16,R
1,0,-16,R
1,1,-16,R
1,1,-16,R
1,1,72,R
1,1,100,R
1,0,-100,R
1,0,-16,R
1,1,72,R
1,1,16,R
1,1,16,R
1,0,-72,R
1,1,44,R
1,1,-16,R
1,1,-44,R
1,1,-72,R
1,1,72,R
1,1,100,R
1,1,16,R
1,1,72,R
1,0,-44,R
1,1,-72,R
1,1,100,R
1,0,-72,R
1,0,-100,R
1,0,-44,R
1,0,16,R
1,1,100,R
1,0,-44,R
1,1,100,R
1,1,44,R
1,0,-44,R
1,0,-100,R
1,1,72,R
1,0,-72,R
1,0,-72,R
1,1,100,R
1,1,-16,R
1,1,-16,R
1,1,-44,R
1,1,44,R
1,0,-100,R
1,1,-16,R
1,1,44,R
1,0,-100,R
1,1,72,R
1,1,44,R
1,1,16,R
1,1,-16,R
1,0,-72,R
1,1,44,R
1,0,-72,R
1,1,16,R
1,0,16,R
1,1,-16,R
1,1,100,R
1,1,-16,R
1,1,72,R
1,1,100,R
1,1,16,R
1,0,-100,R
1,0,-72,R
1,1,44,R
1,1,44,R
1,1,72,R
1,1,72,R
1,1,16,R
1,0,-44,R
1,0,-16,R
1,0,16,R
1,1,44,R
1,0,-72,R
1,0,-16,R
1,1,72,R
1,0,-16,R
1,1,72,R
1,1,16,R
1,0,-72,R
1,1,-100,R
1,1,-16,R
1,1,72,R
1,1,100,R
1,1,44,R
1,1,100,R
1,0,-72,R
1,1,44,R
1,0,-72,R
1,0,-100,R
1,0,-44,R
1,0,-72,R
1,0,-44,R
1,1,100,R
1,0,44,R
1,1,72,R
1,1,100,R
1,1,44,R
1,1,16,R
1,0,-16,R
1,1,72,R
1,1,72,R
1,1,72,R
1,0,-16,R
1,0,-72,R
1,0,-16,R
1,1,100,R
1,0,44,R
1,1,100,R
1,0,-100,R
1,1,100,R
1,1,72,R
1,1,72,R
1,0,-100,R
1,0,-16,R
1,0,-100,R
1,1,100,R
1,1,16,R
1,1,44,R
1,1,16,R
1,0,-16,R
1,1,100,R
1,1,44,R
1,1,100,R
1,1,-16,R
1,1,44,R
1,1,72,R
1,0,-100,R
1,0,-100,R
1,1,44,R
1,0,-72,R
1,1,72,R
1,0,-44,R
1,1,44,R
1,0,44,R
1,0,16,R
1,1,100,R
1,0,-100,R
1,1,72,R
1,1,44,R
1,1,16,R
1,0,-72,R
1,0,-100,R
1,0,-16,R
1,1,72,R
1,0,-16,R
1,0,-100,R
1,0,-16,R
1,1,100,R
1,0,-72,R
1,1,44,R
1,1,16,R
1,1,44,R
1,0,-72,R
1,0,-16,R
1,1,72,R
1,1,72,R
1,1,16,R
1,0,-72,R
1,1,44,R
1,0,16,R
1,1,-44,R
1,1,16,R
1,1,100,R
1,1,100,R
1,0,-100,R
1,1,16,R
1,1,72,R
1,0,-100,R
1,0,-100,R
1,0,-44,R
1,1,72,R
1,1,44,R
1,0,-72,R
1,0,-16,R
1,1,-16,R
1,0,-44,R
1,1,72,R
1,1,72,R
1,1,44,R
1,1,-44,R
1,0,-16,R
1,0,-72,R
1,1,100,R
1,0,-100,R
1,1,72,R
1,0,-100,R
1,1,100,R
1,1,72,R
1,1,-44,R
1,0,16,R
1,0,-72,R
1,0,-44,R
1,0,-72,R
1,0,-100,R
1,1,100,R
1,1,100,R
1,1,44,R
1,0,-44,R
1,1,72,R
1,1,16,R
1,0,-16,R
1,0,-72,R
1,0,-16,R
1,1,16,R
1,0,-72,R
1,1,100,R
1,1,100,R
1,0,-72,R
1,0,-100,R
1,1,100,R
1,0,-100,R
1,0,-16,R
1,0,-100,R
1,1,100,R
1,0,-44,R
1,1,16,R
1,1,100,R
1,1,100,R
1,0,-100,R
1,0,-16,R
1,1,100,R
1,1,44,R
1,0,16,R
1,1,72,R
1,1,16,R
1,1,16,R
1,0,-100,R
1,1,16,R
1,1,72,R
1,0,16,R
1,0,-44,R
1,0,-100,R
1,0,-72,R
1,0,-16,R
1,0,-100,R
1,0,-16,R
1,0,-100,R
1,1,100,R
1,1,44,R
1,1,-44,R
1,1,100,R
1,1,44,R
1,0,-44,R
1,1,72,R
1,0,-16,R
1,0,-100,R
1,1,16,R
1,0,-72,R
1,1,100,R
1,1,16,R
1,1,100,R
1,1,16,R
