subject,block,rt,response,soa,hist,rsi
1,1,0.5894795,1,100,R,1.8
1,1,0.5177163,1,72,R,2.3
1,1,0.5393827,1,44,R,1.1
1,1,0.5474911,1,44,R,2.1
1,1,0.7399309,1,44,R,1.6
1,1,0.7248414,0,72,R,1.6
1,1,0.5818719,0,16,R,1.9
1,1,0.5483659,1,72,R,1.8
1,1,0.9246262,1,16,R,2.1
1,1,0.5238609,1,16,R,2.3
1,1,0.8241045,0,16,R,1.6
1,1,0.6066417,0,16,R,1.8
1,1,0.5334577,1,72,R,1.6
1,1,0.4725683,1,100,R,2.1
1,1,0.5441855,1,100,R,2.3
1,1,0.6073869,1,16,R,2.1
1,1,0.4668176,1,72,R,1.8
1,1,0.5244326,1,16,R,2.3
1,1,0.5571422,1,16,R,1.4
1,1,0.5240659,1,72,R,1.3
1,1,0.5873863,1,44,R,1.8
1,1,0.6143514,0,16,R,1.6
1,1,0.8461677,0,44,R,0.9
1,1,1.2346231,0,72,R,2.1
1,1,0.5174769,1,72,R,0.9
1,1,0.5551221,1,100,R,2.1
1,1,0.6740355,1,16,R,1.3
1,1,0.4503741,1,72,R,1.3
1,1,0.4797007,1,44,R,1.3
1,1,0.5852465,0,72,R,2.1
1,1,0.4522856,1,100,R,1.4
1,1,0.5024169,1,72,R,2.1
1,1,0.5769482,1,100,R,0.9
1,1,0.4457735,1,44,R,2.1
1,1,0.6915618,0,16,R,2.3
1,1,0.4057457,1,100,R,2.1
1,1,0.4126059,1,44,R,1.8
1,1,0.4562736,1,100,R,1.8
1,1,0.5727868,1,44,R,1.3
1,1,0.4512507,1,44,R,2.1
1,1,0.5938377,1,100,R,2.1
1,1,0.5663409,1,72,R,1.1
1,1,0.5338474,1,72,R,1.6
1,1,0.4575665,1,72,R,1.3
1,1,0.4039306,1,100,R,0.9
1,1,0.4904494,0,16,R,0.9
1,1,0.5568871,0,16,R,1.6
1,1,0.5769132,0,44,R,1.4
1,1,0.588408,1,44,R,1.8
1,1,0.634062,1,100,R,1.1
1,1,0.5906067,0,16,R,1.4
1,1,0.510682,1,44,R,1.9
1,1,0.7613969,1,100,R,1.9
1,1,0.4168051,1,72,R,0.9
1,1,0.5048717,1,44,R,1.9
1,1,0.5567956,1,16,R,0.9
1,1,0.640577,0,16,R,1.1
1,1,0.3838872,1,72,R,1.8
1,1,0.4393686,1,44,R,1.9
1,1,0.3749194,1,72,R,1.1
1,1,0.7236309,1,16,R,1.4
1,1,0.339827,0,16,R,1.6
1,1,0.5914462,0,16,R,1.8
1,1,0.4279669,1,100,R,1.6
1,1,0.5070152,0,16,R,1.9
1,1,0.3683226,1,72,R,1.6
1,1,0.5390179,1,100,R,1.4
1,1,0.5246189,1,16,R,2.1
1,1,0.4938866,1,100,R,1.9
1,1,0.4505381,1,72,R,1.6
1,1,0.5213297,1,44,R,0.9
1,1,0.561317,1,44,R,1.4
1,1,0.6682667,1,72,R,1.4
1,1,0.4677939,1,72,R,2.3
1,2,0.5204883,1,16,R,2.3
1,2,0.378257,1,44,R,1.6
1,2,0.4897441,1,16,R,1.4
1,2,0.6090687,0,16,R,2.3
1,2,0.5396262,1,44,R,0.9
1,2,0.4848734,1,72,R,1.3
1,2,0.5925307,1,16,R,0.9
1,2,0.4169949,1,72,R,2.1
1,2,0.490516,1,16,R,1.9
1,2,0.48424,1,72,R,1.3
1,2,0.4081994,1,16,R,1.1
1,2,0.3836444,1,72,R,0.9
1,2,0.6268529,0,100,R,1.3
1,2,0.5553395,0,16,R,1.9
1,2,0.5179221,1,72,R,1.9
1,2,0.4892567,1,100,R,1.6
1,2,0.5085807,1,44,R,1.8
1,2,0.5391799,1,100,R,1.1
1,2,0.4005454,1,72,R,1.9
1,2,0.5052893,1,44,R,1.1
1,2,0.5672597,1,72,R,0.9
1,2,0.4580969,1,100,R,2.1
1,2,0.4788556,1,44,R,1.3
1,2,0.4564479,1,72,R,1.4
1,2,0.577776,1,44,R,1.1
1,2,0.2761692,1,100,R,1.1
1,2,0.4406904,0,44,R,2.3
1,2,0.3002745,1,72,R,2.3
1,2,0.4221297,1,100,R,0.9
1,2,0.5723831,1,44,R,2.3
1,2,0.3228072,1,16,R,1.3
1,2,0.4914608,1,16,R,1.8
1,2,0.268908,1,72,R,1.6
1,2,0.5331271,1,72,R,1.3
1,2,0.4832741,1,72,R,1.8
1,2,0.3565519,1,16,R,1.6
1,2,0.299591,1,72,R,2.1
1,2,0.5060618,1,16,R,1.9
1,2,0.4874837,1,100,R,0.9
1,2,0.2963401,0,44,R,1.3
1,2,0.4878369,1,100,R,2.1
1,2,0.4607313,1,100,R,2.3
1,2,0.4227408,1,100,R,1.8
1,2,0.2523028,1,72,R,1.1
1,2,0.6012927,1,72,R,2.1
1,2,0.4607851,1,100,R,1.3
1,2,0.6908921,1,16,R,1.6
1,2,0.4602974,1,100,R,1.1
1,2,0.5221159,1,100,R,1.4
1,2,0.4581774,1,16,R,1.1
1,2,0.3718769,1,44,R,1.1
1,2,0.3234179,1,16,R,1.6
1,2,0.3745264,1,16,R,2.3
1,2,0.3063819,1,100,R,1.1
1,2,0.5892494,1,44,R,1.9
1,2,0.225967,1,100,R,1.3
1,2,0.591053,0,16,R,1.3
1,2,0.5226733,1,44,R,1.3
1,2,0.79815,1,72,R,1.4
1,2,0.5099477,1,100,R,1.6
1,2,0.5512181,1,100,R,1.4
1,2,0.5072036,1,44,R,0.9
1,2,0.3053288,1,72,R,1.4
1,2,0.8522693,1,72,R,1.1
1,2,0.4612562,1,44,R,0.9
1,2,0.4715348,1,44,R,1.3
1,2,0.5793689,0,44,R,2.1
1,2,0.5916887,0,16,R,1.9
1,2,0.4903635,1,100,R,2.3
1,2,0.5612367,1,100,R,1.8
1,2,0.5009866,1,72,R,2.1
1,2,0.5071466,1,44,R,1.8
1,2,0.51275,1,16,R,2.3
1,2,0.3332053,1,72,R,1.4
1,2,0.3603156,1,100,R,1.8
1,3,0.6638235,1,16,R,2.3
1,3,0.2569483,1,72,R,2.1
1,3,0.6510839,1,16,R,1.3
1,3,0.5934766,1,100,R,1.8
1,3,0.3921835,1,16,R,0.9
1,3,0.2011607,1,100,R,1.9
1,3,0.2207431,1,72,R,1.6
1,3,0.319014,1,44,R,0.9
1,3,0.3482505,1,16,R,2.1
1,3,0.3240509,1,44,R,1.6
1,3,0.3660039,1,72,R,0.9
1,3,0.4912833,1,16,R,1.6
1,3,0.3192624,1,72,R,1.4
1,3,0.4008879,1,72,R,1.6
1,3,0.6056663,1,16,R,2.1
1,3,0.2541954,1,72,R,1.3
1,3,0.3920974,1,44,R,2.1
1,3,0.3152606,0,16,R,1.1
1,3,0.3295016,0,44,R,2.3
1,3,0.3241398,1,16,R,1.6
1,3,0.2631743,1,100,R,2.3
1,3,0.2142057,1,100,R,1.9
1,3,0.3054097,1,100,R,1.1
1,3,0.5233763,1,16,R,1.1
1,3,0.4851433,1,72,R,1.1
1,3,0.3927833,1,100,R,0.9
1,3,0.4606487,1,100,R,1.8
1,3,0.3454834,1,44,R,2.1
1,3,0.2765026,1,72,R,1.3
1,3,0.4385882,1,44,R,0.9
1,3,0.3560718,1,72,R,2.1
1,3,0.3808668,1,16,R,1.8
1,3,0.7409648,0,16,R,1.8
1,3,0.412412,1,44,R,1.9
1,3,0.3845759,1,72,R,2.1
1,3,0.3994371,1,72,R,1.4
1,3,0.3570364,1,44,R,1.6
1,3,0.503083,0,44,R,1.4
1,3,0.4574425,1,16,R,2.3
1,3,0.365868,1,72,R,1.1
1,3,0.3373812,1,100,R,1.9
1,3,0.428163,1,100,R,1.1
1,3,0.8841081,1,72,R,1.6
1,3,0.4269461,1,100,R,1.4
1,3,0.4396642,1,100,R,1.8
1,3,0.4331024,1,72,R,1.4
1,3,0.6508309,0,44,R,1.6
1,3,0.5902168,0,16,R,1.3
1,3,0.3156339,1,72,R,0.9
1,3,0.3631347,1,44,R,1.8
1,3,0.433789,1,72,R,1.3
1,3,0.3935599,1,100,R,1.6
1,3,0.3060645,1,100,R,1.8
1,3,0.305648,1,100,R,0.9
1,3,0.4887044,1,44,R,1.8
1,3,0.3174417,1,44,R,1.9
1,3,0.2757558,1,72,R,1.1
1,3,0.4475388,1,16,R,1.4
1,3,0.3425596,1,16,R,1.1
1,3,0.2831669,1,72,R,1.3
1,3,0.3070924,1,16,R,2.1
1,3,0.325161,1,16,R,1.4
1,3,0.283588,1,72,R,2.3
1,3,0.246284,1,100,R,2.3
1,3,0.2835795,1,100,R,1.1
1,3,0.3488218,1,72,R,2.1
1,3,0.3936465,1,100,R,1.3
1,3,0.3552951,1,100,R,1.3
1,3,0.3932563,1,100,R,1.9
1,3,0.4076886,1,16,R,1.3
1,4,0.3500989,1,100,R,0.9
1,4,0.1761791,1,100,R,2.1
1,4,0.5459848,1,44,R,0.9
1,4,0.5578322,1,16,R,0.9
1,4,0.4370633,1,100,R,1.9
1,4,0.3384884,1,100,R,2.1
1,4,0.5111757,1,100,R,2.1
1,4,0.4758415,1,16,R,2.1
1,4,0.3232858,1,100,R,2.1
1,4,0.2976401,1,44,R,2.1
1,4,0.3969441,0,16,R,1.4
1,4,0.2504969,1,72,R,1.1
1,4,0.6731838,1,16,R,2.1
1,4,0.5408135,1,16,R,1.1
1,4,0.3936036,1,100,R,2.3
1,4,0.8258717,1,16,R,1.4
1,4,0.2367819,1,72,R,1.4
1,4,0.3372482,0,16,R,1.9
1,4,0.4788365,1,44,R,1.6
1,4,0.4941546,1,100,R,1.8
1,4,0.4749343,1,72,R,1.8
1,4,0.5410698,1,16,R,1.6
1,4,0.3837131,1,100,R,1.1
1,4,0.3243151,1,16,R,1.8
1,4,0.360037,1,100,R,1.1
1,4,0.3282594,1,100,R,2.3
1,4,0.3395853,1,44,R,0.9
1,4,0.5176745,0,44,R,0.9
1,4,0.2706419,1,100,R,2.1
1,4,0.5227892,1,44,R,2.1
1,4,0.3620056,1,44,R,1.8
1,4,0.3489761,1,72,R,1.4
1,4,0.375042,1,16,R,1.3
1,4,0.4998008,1,100,R,1.4
1,4,0.3906053,1,16,R,1.6
1,4,0.3333421,1,72,R,1.4
1,4,0.2289804,1,100,R,1.3
1,4,0.4334878,1,16,R,1.3
1,4,0.2895303,1,100,R,1.8
1,4,0.4635159,1,16,R,2.1
1,4,0.3881756,1,100,R,0.9
1,4,0.5083068,0,16,R,1.9
1,4,0.579924,1,44,R,2.1
1,4,0.4608794,1,100,R,2.3
1,4,0.2667279,1,72,R,2.3
1,4,0.3085645,1,72,R,2.1
1,4,0.2864351,1,44,R,1.6
1,4,0.4091215,1,72,R,1.8
1,4,0.3394529,1,100,R,1.3
1,4,0.5104687,1,100,R,2.1
1,4,0.4054949,1,44,R,1.9
1,4,0.2907817,1,72,R,1.8
1,4,0.4074493,1,16,R,1.9
1,4,0.3568083,1,44,R,1.8
1,4,0.5469231,0,44,R,1.4
1,4,0.401532,0,72,R,1.3
1,4,0.3573407,1,16,R,1.9
1,4,0.3231693,1,16,R,2.1
1,4,0.4753916,0,16,R,0.9
1,4,0.3832477,1,100,R,1.1
1,4,0.523486,1,44,R,2.3
1,4,0.312415,1,44,R,1.3
1,4,0.3060588,1,100,R,1.8
1,4,0.4345679,1,100,R,1.8
1,4,0.3581892,0,16,R,1.4
1,4,0.3506677,1,72,R,2.3
1,4,0.3796381,1,44,R,1.6
1,4,0.4735027,1,16,R,2.1
1,4,0.5461607,1,16,R,1.4
1,4,0.3549583,1,44,R,1.4
1,4,0.383203,1,72,R,2.3
1,4,0.4809944,0,16,R,0.9
1,4,0.4594369,1,100,R,1.3
1,4,0.5615891,1,100,R,1.4
1,4,0.3341003,1,72,R,1.8
1,4,0.7772761,1,100,R,1.3
1,4,1.0120476,0,44,R,1.1
1,4,0.5937401,1,100,R,1.4
2,1,1.2487535,1,72,R,0.9
2,1,1.1867639,1,44,R,1.9
2,1,1.0950542,1,44,R,1.1
2,1,1.4412713,1,16,R,0.9
2,1,1.9249734,0,16,R,1.1
2,1,0.9325773,1,72,R,1.3
2,1,1.8256789,0,44,R,2.3
2,1,0.9972334,1,72,R,1.4
2,1,1.1368766,1,100,R,1.1
2,1,1.0236899,1,16,R,1.6
2,1,1.7119505,0,44,R,0.9
2,1,1.5130346,0,44,R,1.4
2,1,1.2742644,1,16,R,1.6
2,1,0.9055722,1,100,R,1.9
2,1,0.751272,1,72,R,1.8
2,1,1.1371274,1,100,R,1.3
2,1,2.0767657,0,100,R,2.3
2,1,1.0571342,1,16,R,2.3
2,1,1.2089141,1,16,R,1.9
2,1,0.5512982,1,72,R,1.3
2,1,0.6281823,1,100,R,1.4
2,1,0.6544925,1,100,R,0.9
2,1,0.6795686,1,44,R,2.1
2,1,0.9085937,1,44,R,1.4
2,1,1.1122971,1,44,R,2.1
2,1,0.65627,1,100,R,1.3
2,1,0.8066485,1,44,R,1.1
2,1,0.7945997,1,44,R,1.4
2,1,1.1125905,1,44,R,1.1
2,1,0.8779217,1,16,R,1.1
2,1,0.867653,1,72,R,1.3
2,1,1.0393562,1,44,R,1.3
2,1,0.9586034,0,16,R,2.3
2,1,0.6131197,1,100,R,1.6
2,1,1.1218098,0,16,R,1.6
2,1,0.6679504,1,72,R,2.3
2,1,1.2591333,1,16,R,2.1
2,1,0.6717492,1,100,R,2.3
2,1,0.8923555,0,16,R,1.1
2,1,1.1224356,1,100,R,2.3
2,1,0.8092444,1,44,R,2.3
2,1,1.4262671,1,16,R,1.8
2,1,0.9069814,1,44,R,1.4
2,1,0.7668526,1,100,R,2.1
2,1,0.4682981,1,72,R,1.1
2,1,0.7063376,1,100,R,1.3
2,1,0.6225933,1,100,R,1.4
2,1,1.2740136,1,44,R,1.8
2,1,0.8405227,1,44,R,1.4
2,1,0.7346895,1,72,R,0.9
2,1,0.8949624,1,100,R,1.8
2,1,0.9074886,0,16,R,0.9
2,1,0.6782388,1,100,R,1.8
2,1,0.9085579,1,16,R,2.1
2,1,0.8402127,1,44,R,1.9
2,1,0.7648221,1,16,R,1.1
2,1,0.7502649,1,72,R,1.8
2,1,0.8505188,1,72,R,1.8
2,1,1.0577669,1,16,R,2.3
2,1,0.8077245,1,16,R,1.9
2,1,1.0811429,0,44,R,0.9
2,1,0.9053551,1,16,R,1.4
2,1,0.6409193,1,16,R,0.9
2,1,0.6842488,1,72,R,1.8
2,1,1.8263399,1,100,R,0.9
2,1,0.9298743,1,44,R,1.6
2,1,0.7173657,1,100,R,1.1
2,1,0.6340766,1,72,R,1.1
2,1,0.9314879,1,72,R,1.9
2,1,0.6007484,1,72,R,1.3
2,1,0.5399801,1,44,R,1.3
2,1,0.5403659,1,72,R,1.9
2,1,0.8515256,1,72,R,0.9
2,1,1.0506972,1,72,R,1.8
2,1,0.9012822,1,72,R,1.8
2,1,1.0546752,1,100,R,1.4
2,1,0.9801337,1,44,R,1.1
2,2,0.8236076,0,16,R,1.9
2,2,1.1789477,1,100,R,0.9
2,2,1.3186627,0,72,R,1.9
2,2,0.9388012,1,16,R,1.4
2,2,0.802603,1,44,R,2.3
2,2,1.0070487,1,44,R,1.9
2,2,1.4963471,1,44,R,1.3
2,2,0.7717013,1,100,R,1.4
2,2,0.9263705,0,16,R,1.9
2,2,0.7748309,1,100,R,0.9
2,2,1.7092989,1,16,R,1.3
2,2,1.058249,1,16,R,1.3
2,2,1.0559059,1,100,R,2.3
2,2,0.7065665,1,100,R,1.1
2,2,0.8057053,1,100,R,1.1
2,2,0.8970339,1,100,R,1.1
2,2,1.8963137,0,44,R,1.4
2,2,1.0917422,1,16,R,1.4
2,2,1.1697556,1,44,R,1.9
2,2,0.8616486,1,100,R,1.6
2,2,0.9905542,1,44,R,1.6
2,2,0.872394,1,72,R,1.3
2,2,0.5579539,1,16,R,2.1
2,2,1.345197,0,16,R,1.3
2,2,0.9590026,1,44,R,2.3
2,2,1.4289097,1,100,R,1.6
2,2,0.9163497,1,72,R,1.1
2,2,0.6677242,1,72,R,0.9
2,2,0.7440947,1,100,R,2.1
2,2,0.8756967,0,16,R,1.8
